Date,Symbol,Open,High,Low,Close,Volume,fetch_time
2025-01-14 15:10:00+00:00,AAPL,235.47999572753906,235.6199951171875,235.42999267578125,235.6199951171875,106494,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:11:00+00:00,AAPL,235.60000610351562,235.84750366210938,235.55999755859375,235.75,73048,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:12:00+00:00,AAPL,235.77000427246094,235.9499969482422,235.72999572753906,235.9199981689453,81207,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:13:00+00:00,AAPL,235.9541015625,236.1199951171875,235.5800018310547,235.67999267578125,161505,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:14:00+00:00,AAPL,235.7100067138672,235.72000122070312,235.36000061035156,235.4398956298828,83996,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:15:00+00:00,AAPL,235.43499755859375,235.74000549316406,235.42999267578125,235.72999572753906,56451,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:16:00+00:00,AAPL,235.74000549316406,235.8699951171875,235.7100067138672,235.8699951171875,66326,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:17:00+00:00,AAPL,235.8699951171875,236.0399932861328,235.8699951171875,235.97900390625,71302,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:18:00+00:00,AAPL,235.9499969482422,236.0399932861328,235.88999938964844,235.9759979248047,64590,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:19:00+00:00,AAPL,235.97500610351562,236.02999877929688,235.77999877929688,235.77999877929688,69292,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:20:00+00:00,AAPL,235.77999877929688,235.83999633789062,235.64999389648438,235.75,82623,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:21:00+00:00,AAPL,235.75,235.9199981689453,235.72000122070312,235.76499938964844,71531,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:22:00+00:00,AAPL,235.75999450683594,235.89999389648438,235.5240020751953,235.5240020751953,82749,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:23:00+00:00,AAPL,235.5800018310547,235.77000427246094,235.5399932861328,235.68499755859375,72498,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:24:00+00:00,AAPL,235.6999969482422,235.72999572753906,235.60000610351562,235.60159301757812,34035,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:25:00+00:00,AAPL,235.625,235.72999572753906,235.60960388183594,235.68080139160156,34698,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:26:00+00:00,AAPL,235.6699981689453,235.8300018310547,235.66000366210938,235.6999969482422,45788,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:27:00+00:00,AAPL,235.72999572753906,235.75,235.55499267578125,235.64999389648438,39400,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:28:00+00:00,AAPL,235.63999938964844,235.66000366210938,235.42999267578125,235.55999755859375,121081,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:29:00+00:00,AAPL,235.5500030517578,235.64999389648438,235.4499969482422,235.61000061035156,96146,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:30:00+00:00,AAPL,235.60000610351562,235.77000427246094,235.57000732421875,235.68499755859375,96401,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:31:00+00:00,AAPL,235.69000244140625,235.89439392089844,235.6199951171875,235.8699951171875,100555,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:32:00+00:00,AAPL,235.8800048828125,235.97000122070312,235.83489990234375,235.89920043945312,79032,2025-01-15 05:14:03.009777+00:00
