,asset1,asset2,mean,std,min,max,negative_pct,missing_pct
AMGN|||PANW,AMGN,PANW,0.07959689714804821,0.14308977244309162,-0.23470953785531362,0.3349857803233511,28.000000000000004,5.800000000000001
AMGN|||PAYX,AMGN,PAYX,0.32746732029494147,0.12509153806882514,0.049944985130751365,0.605848893227553,0.0,5.800000000000001
AMGN|||PCAR,AMGN,PCAR,0.2848640587404385,0.16570500920406744,-0.046671516993916196,0.569274137520567,1.6,5.800000000000001
AMGN|||PDD,AMGN,PDD,0.03875393971629329,0.11546310050081161,-0.17769654904086232,0.3874824210233685,38.0,5.800000000000001
AMGN|||PEP,AMGN,PEP,0.38296724028755114,0.15419531370695816,0.011418096670495937,0.6370014508417173,0.0,5.800000000000001
AMGN|||PLTR,AMGN,PLTR,0.08804487179158599,0.11474749788454376,-0.07880932082687424,0.3811594882643792,20.599999999999998,5.800000000000001
AMGN|||PYPL,AMGN,PYPL,0.17413408318643847,0.13266091457887264,-0.13067788519710063,0.48422712559808756,11.799999999999999,5.800000000000001
AMGN|||QCOM,AMGN,QCOM,0.16716141042201677,0.13608320357761572,-0.0743790414865941,0.423743615596715,14.399999999999999,5.800000000000001
AMGN|||REGN,AMGN,REGN,0.39991910548054915,0.13666456099713492,0.1375726481397069,0.759300023194828,0.0,5.800000000000001
AMGN|||ROP,AMGN,ROP,0.31508956419130013,0.15134191684643314,-0.006561391525482478,0.6077786113096301,0.2,5.800000000000001
AMGN|||ROST,AMGN,ROST,0.2237176460711138,0.11433974355065543,-0.01571269299313426,0.471214266230373,0.8,5.800000000000001
AMGN|||SBUX,AMGN,SBUX,0.2703432760512392,0.13191623891848694,0.019499181699040365,0.5605356074734836,0.0,5.800000000000001
AMGN|||SNPS,AMGN,SNPS,0.15069390792384735,0.1186160377200687,-0.13716480008977466,0.4310935899285483,12.6,5.800000000000001
AMGN|||TEAM,AMGN,TEAM,0.11182859105969523,0.1347568574846282,-0.1002662661042644,0.43417983345358757,19.400000000000002,5.800000000000001
AMGN|||TMUS,AMGN,TMUS,0.32555497911659115,0.14340337169539227,0.014521997607230901,0.6043816605110922,0.0,5.800000000000001
AMGN|||TSLA,AMGN,TSLA,0.11224512844841483,0.10649039620243615,-0.1235696108712648,0.4026571727705307,11.600000000000001,5.800000000000001
AMGN|||TTD,AMGN,TTD,0.06924941143697373,0.11509139258481861,-0.1048709068051491,0.4154106636736501,34.0,5.800000000000001
AMGN|||TTWO,AMGN,TTWO,0.018277664096989693,0.18448619628013596,-0.36229368950217916,0.4275419542767494,40.6,5.800000000000001
AMGN|||TXN,AMGN,TXN,0.26158022254589974,0.13259237116199116,-0.04050287731231177,0.5094930220292472,3.8,5.800000000000001
AMGN|||VRSK,AMGN,VRSK,0.2725988318493474,0.16440825289506436,-0.12711180132597483,0.6220431034131834,6.2,5.800000000000001
AMGN|||VRTX,AMGN,VRTX,0.37883164990580426,0.1483482373045552,0.031024721024709583,0.7142684042312991,0.0,5.800000000000001
AMGN|||WBD,AMGN,WBD,0.1625928183589812,0.11609803626964783,-0.11240227873587488,0.4013385693921497,7.8,5.800000000000001
AMGN|||WDAY,AMGN,WDAY,0.13822929709800508,0.10144711456029304,-0.07375074923834814,0.4395052915973273,6.6000000000000005,5.800000000000001
AMGN|||XEL,AMGN,XEL,0.3759156435863518,0.1629226250868715,-0.02619831050094137,0.7328690548535668,1.4000000000000001,5.800000000000001
AMGN|||ZS,AMGN,ZS,0.06346607096509888,0.12831098386986672,-0.18034842639276122,0.3864942500699369,37.2,5.800000000000001
AMZN|||ANSS,AMZN,ANSS,0.6136126351785137,0.14983490628216006,0.22218755276310587,0.8291312133023045,0.0,5.800000000000001
AMZN|||APP,AMZN,APP,0.5124737039983942,0.15133844145735142,0.19203449704943956,0.7795552506593946,0.0,5.800000000000001
AMZN|||ASML,AMZN,ASML,0.5777462183478651,0.13906276656401081,0.29176519676538465,0.7901267659269493,0.0,5.800000000000001
