Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
ALIT,"Alight Inc Cl A",5.44,-0.04,-0.73%,5.5,5.53,5.435,4215811,"18:30 ET"
ALKS,"Alkermes Plc",26.66,-2.56,-8.76%,28.98,28.98,26.05,6031300,2025-07-21
ALKT,"Alkami Technology Inc",28.22,0.41,+1.47%,27.99,28.35,27.84,1016500,2025-07-21
ALLO,"Allogene Therapeutics Inc",1.32,0.07,+5.60%,1.25,1.36,1.25,3426500,2025-07-21
ALMS,"Alumis Inc",3.32,-0.01,-0.30%,3.4,3.51,3.31,429300,2025-07-21
ALMU,"Aeluma Inc",17.76,-0.33,-1.82%,18.52,18.74,17.55,255700,2025-07-21
ALNT,"Allient Inc",38.57,-1.25,-3.14%,40,40.35,38.36,190200,2025-07-21
ALRM,Alarm.com,55.03,-0.29,-0.52%,55.33,55.65,54.97,222700,2025-07-21
ALRS,"Alerus Financial Corp",22.03,-0.03,-0.14%,22.08,22.16,21.63,42200,2025-07-21
ALT,"Altimmune Inc",4.05,-0.03,-0.74%,4.13,4.26,4.03,3012000,2025-07-21
ALTG,"Alta Equipment Group Inc",7.39,-0.04,-0.54%,7.5,7.61,7.36,163351,"18:30 ET"
ALTI,"Alti Global Inc",4.4,-0.01,-0.23%,4.41,4.52,4.39,104100,2025-07-21
ALX,"Alexander's Inc",248.35,5.88,+2.43%,244.09,248.9099,243,49891,"18:30 ET"
ALXO,"Alx Oncology Holdings Inc",0.48,-0.0266,-5.25%,0.5066,0.54,0.4672,855500,2025-07-21
AMAL,"Amalgamated Financial Corp",33.1,0.11,+0.33%,33.1,33.56,32.94,163200,2025-07-21
AMBA,"Ambarella Inc",69.75,0.37,+0.53%,69.35,70.77,69.13,478800,2025-07-21
AMBC,"Ambac Financial Group",8.76,0.0099999999999998,+0.11%,8.77,8.96,8.689,877271,"18:30 ET"
AMBP,"Ardagh Metal Packaging S.A.",4.52,-0.05,-1.09%,4.61,4.625,4.52,955133,"18:30 ET"
AMC,"AMC Entertainment Holdings",3.44,-0.1,-2.82%,3.56,3.6,3.41,13618809,"18:30 ET"
AMCX,"AMC Networks Cl A",6.14,-0.01,-0.16%,6.2,6.24,6.11,212300,2025-07-21
AMLX,"Amylyx Pharmaceuticals Inc",8.21,-0.13,-1.56%,8.33,8.72,8.14,1867400,2025-07-21
AMN,"Amn Healthcare Services Inc",18.57,-1.25,-6.31%,19.89,19.95,18.43,901391,"18:30 ET"
AMPH,"Amphastar Pharma",21.19,0.57,+2.76%,20.7,21.22,20.64,536000,2025-07-21
AMPL,"Amplitude Inc Cl A",12.62,0.03,+0.24%,12.71,12.81,12.48,1198100,2025-07-21
AMPX,"Amprius Technologies Inc",8.38,-0.28,-3.23%,8.99,9.085,8.36,12404156,"18:30 ET"
AMR,"Alpha Metallurgical Resources Inc",126.07,1.8,+1.45%,128.08,133.72,125.51,363414,"18:30 ET"
AMRC,"Ameresco Inc",17.83,-0.38,-2.09%,18.67,18.81,17.8,558821,"18:30 ET"
AMRK,"A-Mark Precious Meta",22.06,0.22,+1.01%,21.92,22.5,21.92,129400,2025-07-21
AMRX,"Amneal Pharmaceuticals Inc",7.91,-0.06,-0.75%,8.01,8.06,7.79,1879200,2025-07-21
AMSC,"Amer Superconductor",42.3,-0.42,-0.98%,43.09,43.27,42.05,856200,2025-07-21
AMSF,"Amerisafe Inc",44.09,-1.09,-2.41%,45.3,45.3,43.83,169000,2025-07-21
AMTB,"Mercantil Bank Holding Cl A",19.83,-0.12,-0.60%,19.97,20.24,19.83,148222,"18:30 ET"
AMTX,"Aemetis Inc",2.98,0.21,+7.58%,2.79,3.04,2.77,1049600,2025-07-21
AMWD,"Amer Woodmark Corp",52.29,-0.16,-0.31%,53.17,54.29,52.18,118800,2025-07-21
ANAB,"Anaptysbio Inc",26.17,0.25,+0.96%,26.26,27.34,25.74,495400,2025-07-21
ANDE,"Andersons Inc",35.82,-0.34,-0.94%,36.37,36.72,35.77,200900,2025-07-21
ANF,"Abercrombie & Fitch Company",95.31,1.84,+1.97%,94.61,96.4,93.99,1728393,"18:30 ET"
ANGI,"Angi Inc",16.09,0.04,+0.25%,16.26,16.43,16.04,553900,2025-07-21
ANGO,"Angiodynamics Inc",8.99,0.3,+3.45%,8.69,9.1,8.64,879700,2025-07-21
ANIK,"Anika Therapeutics",10.69,0.19,+1.81%,10.53,10.99,10.49,63800,2025-07-21
ANIP,"ANI Pharma Inc",65.41,-0.89,-1.34%,66.58,66.72,64.27,347000,2025-07-21
ANNX,"Annexon Inc",2.47,0.15,+6.47%,2.35,2.53,2.31,1473900,2025-07-21
ANRO,"Alto Neuroscience Inc",2.73,-0.05,-1.80%,2.83,2.87,2.72,70039,"18:30 ET"
AOMR,"Angel Oak Mortgage REIT Inc",9.38,0.020000000000001,+0.21%,9.37,9.47,9.34,41914,"18:30 ET"
AORT,"Artivion Inc",30.64,0.15,+0.49%,30.57,30.84,30.22,256636,"18:30 ET"
AOSL,"Alpha and Omega Semi",28.89,0.24,+0.84%,28.84,30.06,28.84,267400,2025-07-21
AOUT,"American Outdoor Brands Inc",9.6,0.3,+3.23%,9.4,9.63,9.4,94000,2025-07-21
APAM,"Artisan Partners Asset Mgmt",45.26,-1.09,-2.35%,46.45,46.635,45.19,677326,"18:30 ET"
APEI,"American Public Education",30.8,0.46,+1.52%,30.48,31.4,29.81,327200,2025-07-21
APGE,"Apogee Therapeutics Inc",39.11,-0.2,-0.51%,39.47,40.19,38.66,787400,2025-07-21
APLD,"Applied Digital Corp",11.09,-0.84,-7.04%,12.19,12.21,11,42344102,2025-07-21
APLE,"Apple Hospitality REIT Inc",12.34,0,0.00%,12.43,12.48,12.33,1695071,"18:30 ET"
APLT,"Applied Therapeutics Inc",0.46,-0.0019,-0.41%,0.4811,0.485,0.4465,1238200,2025-07-21
APOG,"Apogee Entrpr Inc",41.54,-0.43,-1.02%,42.36,42.49,41.52,127300,2025-07-21
APPN,"Appian Corp Cl A",28.95,0.14,+0.49%,28.81,29.59,28.81,399600,2025-07-21
APPS,"Digital Turbine",5.55,0.18,+3.26%,5.39,5.86,5.39,4955200,2025-07-21
AQST,"Aquestive Therapeutics Inc",4.23,0.03,+0.71%,4.24,4.37,4.15,1080400,2025-07-21
ARAY,"Accuray Inc",1.34,0.005,+0.37%,1.34,1.3797,1.33,691200,2025-07-21
